account_id,customer_id,account_opening_date,account_type
1,1,2024-08-28,current
2,2,2008-03-25,current
3,3,2017-10-21,current
4,4,2016-05-16,savings
5,5,2024-05-25,savings
6,6,2016-08-23,savings
7,7,1999-04-07,current
8,8,2015-03-12,savings
9,9,2002-12-20,current
10,10,2023-11-08,current
11,11,2003-03-10,savings
12,12,2013-05-23,current
13,13,2004-04-05,savings
14,14,2001-10-13,savings
15,15,,savings
16,16,2011-11-14,savings
17,17,2005-10-25,current
18,18,1999-03-28,savings
19,19,2023-12-16,current
20,20,2007-03-06,savings
21,21,2024-12-09,savings
22,22,2024-10-24,current
23,23,2005-07-24,savings
24,24,2007-10-17,savings
25,25,2007-12-21,savings
26,26,1996-05-24,current
27,27,1998-12-01,savings
28,28,2017-02-09,savings
29,29,2004-10-07,savings
30,30,2006-04-10,current
31,31,2009-04-11,current
33,33,1999-02-16,current
34,34,2012-10-23,savings
35,35,2008-12-25,current
36,36,2024-04-02,current
37,37,2013-03-23,current
38,38,1997-12-26,current
39,39,1995-11-03,savings
40,40,2019-10-02,savings
41,41,2001-02-24,current
42,42,2024-04-12,current
43,43,2001-04-07,current
44,44,1997-10-01,current
45,45,1998-01-12,savings
46,46,2008-04-15,savings
47,47,2005-03-07,current
48,48,2023-12-18,current
49,49,2003-04-20,current
50,50,2013-05-04,current
51,51,1995-10-04,current
52,52,2021-05-13,current
53,53,2009-06-26,current
54,54,2014-03-19,savings
55,55,1997-02-10,savings
56,56,2003-11-13,savings
57,57,2007-11-19,current
58,58,2008-11-18,savings
59,59,1999-02-22,current
60,60,2004-02-17,current
61,61,2001-11-20,current
62,62,2023-01-02,savings
63,63,2010-12-16,savings
64,64,1995-02-07,current
65,65,2012-02-21,savings
66,66,2000-11-04,savings
67,67,2003-03-15,savings
68,68,2002-01-19,savings
69,69,2005-06-22,current
70,70,2019-07-01,current
71,71,2024-03-21,savings
72,72,2008-09-11,savings
73,73,2016-05-11,savings
74,74,2011-12-22,current
75,75,2003-01-14,savings
76,76,2015-08-12,current
77,77,2024-11-26,savings
78,78,2015-02-28,savings
79,79,2001-01-06,current
80,80,1995-06-18,current
81,81,2014-08-05,current
82,82,2016-05-25,current
83,83,1996-05-01,savings
84,84,1995-07-05,current
85,85,2018-10-22,current
86,86,2018-03-03,current
87,87,2016-01-01,savings
