transaction_id,account_id,customer_id,transaction_date,currency_code,amount_original,issue_reason
1046810,1,1,2025-03-10,CHF,6408.62,NO_FX_RATE_FOR_DATE_CURRENCY
1036072,3,3,2025-03-10,CHF,4010.72,NO_FX_RATE_FOR_DATE_CURRENCY
1046232,8,8,2025-03-10,CZK,132.45,NO_FX_RATE_FOR_DATE_CURRENCY
1018606,22,22,2025-03-10,NOK,8101.49,NO_FX_RATE_FOR_DATE_CURRENCY
1025801,24,24,2025-03-10,SEK,9551.13,NO_FX_RATE_FOR_DATE_CURRENCY
1017483,26,26,2025-03-10,NOK,2114.64,NO_FX_RATE_FOR_DATE_CURRENCY
1043610,34,34,2025-03-10,CZK,1033.7,NO_FX_RATE_FOR_DATE_CURRENCY
1046124,35,35,2025-03-10,TRY,542.96,NO_FX_RATE_FOR_DATE_CURRENCY
1011222,40,40,2025-03-10,JPY,5466.08,NO_FX_RATE_FOR_DATE_CURRENCY
1022939,52,52,2025-03-10,CHF,4223.14,NO_FX_RATE_FOR_DATE_CURRENCY
1003773,55,55,2025-03-10,BGN,3689.36,NO_FX_RATE_FOR_DATE_CURRENCY
1043873,68,68,2025-03-10,TRY,8628.68,NO_FX_RATE_FOR_DATE_CURRENCY
1003840,70,70,2025-03-10,DKK,4633.65,NO_FX_RATE_FOR_DATE_CURRENCY
1033284,70,70,2025-03-10,ISK,5598.66,NO_FX_RATE_FOR_DATE_CURRENCY
1042100,70,70,2025-03-10,DKK,4025.02,NO_FX_RATE_FOR_DATE_CURRENCY
1006440,72,72,2025-03-10,AUD,7039.66,NO_FX_RATE_FOR_DATE_CURRENCY
1001038,83,83,2025-03-10,NOK,4216.41,NO_FX_RATE_FOR_DATE_CURRENCY
1027153,88,88,2025-03-10,SEK,5771.8,NO_FX_RATE_FOR_DATE_CURRENCY
1014934,90,90,2025-03-10,DKK,5303.76,NO_FX_RATE_FOR_DATE_CURRENCY
1011948,92,92,2025-03-10,CZK,8895.46,NO_FX_RATE_FOR_DATE_CURRENCY
1013109,94,94,2025-03-10,AUD,6561.62,NO_FX_RATE_FOR_DATE_CURRENCY
1007630,95,95,2025-03-10,RON,5413.31,NO_FX_RATE_FOR_DATE_CURRENCY
1055378,97,97,2025-03-10,JPY,8784.14,NO_FX_RATE_FOR_DATE_CURRENCY
1006199,106,106,2025-03-10,GBP,3935.55,NO_FX_RATE_FOR_DATE_CURRENCY
1012586,109,109,2025-03-10,ISK,4314.94,NO_FX_RATE_FOR_DATE_CURRENCY
1033426,111,111,2025-03-10,NOK,7021.07,NO_FX_RATE_FOR_DATE_CURRENCY
1032162,113,113,2025-03-10,PLN,7365.41,NO_FX_RATE_FOR_DATE_CURRENCY
1038335,116,116,2025-03-10,TRY,6707.25,NO_FX_RATE_FOR_DATE_CURRENCY
1002758,137,137,2025-03-10,ISK,3398.36,NO_FX_RATE_FOR_DATE_CURRENCY
1006893,145,145,2025-03-10,TRY,9418.09,NO_FX_RATE_FOR_DATE_CURRENCY
1037556,156,156,2025-03-10,CZK,6618.34,NO_FX_RATE_FOR_DATE_CURRENCY
1005756,168,168,2025-03-10,CHF,3960.29,NO_FX_RATE_FOR_DATE_CURRENCY
1010386,169,169,2025-03-10,RON,1286.65,NO_FX_RATE_FOR_DATE_CURRENCY
1038184,182,182,2025-03-10,CHF,116.8,NO_FX_RATE_FOR_DATE_CURRENCY
