account_id,customer_id,branch_id,account_type,account_opening_date
1,1,43,current,2024-08-28
1,1,43,current,2024-08-28
2,2,63,current,2008-03-25
2,2,63,current,2008-03-25
3,3,82,current,2017-10-21
3,3,82,current,2017-10-21
4,4,41,savings,2016-05-16
4,4,41,savings,2016-05-16
5,5,9,savings,2024-05-25
5,5,9,savings,2024-05-25
6,6,20,savings,2016-08-23
6,6,20,savings,2016-08-23
7,7,21,current,1999-04-07
7,7,21,current,1999-04-07
8,8,25,savings,2015-03-12
8,8,25,savings,2015-03-12
9,9,66,current,2002-12-20
9,9,66,current,2002-12-20
10,10,30,current,2023-11-08
10,10,30,current,2023-11-08
11,11,72,savings,2003-03-10
11,11,72,savings,2003-03-10
12,12,25,current,2013-05-23
12,12,25,current,2013-05-23
13,13,94,savings,2004-04-05
13,13,94,savings,2004-04-05
14,14,30,savings,2001-10-13
14,14,30,savings,2001-10-13
15,15,77,savings,
15,15,77,savings,
16,16,31,savings,2011-11-14
16,16,31,savings,2011-11-14
17,17,96,current,2005-10-25
17,17,96,current,2005-10-25
18,18,36,savings,1999-03-28
18,18,36,savings,1999-03-28
19,19,41,current,2023-12-16
19,19,41,current,2023-12-16
20,20,61,savings,2007-03-06
20,20,61,savings,2007-03-06
21,21,29,savings,2024-12-09
21,21,29,savings,2024-12-09
22,22,34,current,2024-10-24
22,22,34,current,2024-10-24
23,23,19,savings,2005-07-24
23,23,19,savings,2005-07-24
24,24,90,savings,2007-10-17
24,24,90,savings,2007-10-17
25,25,5,savings,2007-12-21
25,25,5,savings,2007-12-21
26,26,20,current,1996-05-24
26,26,20,current,1996-05-24
27,27,78,savings,1998-12-01
27,27,78,savings,1998-12-01
28,28,29,savings,2017-02-09
28,28,29,savings,2017-02-09
29,29,3,savings,2004-10-07
29,29,3,savings,2004-10-07
30,30,84,current,2006-04-10
30,30,84,current,2006-04-10
31,31,25,current,2009-04-11
31,31,25,current,2009-04-11
32,32,69,"",
32,32,69,"",
33,33,55,current,1999-02-16
33,33,55,current,1999-02-16
34,34,56,savings,2012-10-23
34,34,56,savings,2012-10-23
35,35,29,current,2008-12-25
35,35,29,current,2008-12-25
36,36,41,current,2024-04-02
36,36,41,current,2024-04-02
37,37,2,current,2013-03-23
37,37,2,current,2013-03-23
38,38,6,current,1997-12-26
38,38,6,current,1997-12-26
39,39,59,savings,1995-11-03
39,39,59,savings,1995-11-03
40,40,65,savings,2019-10-02
