customer_id,account_id,branch_id,transaction_date,total_amount_eur,txn_count,non_eur_without_fx_rows
145,145,1,2025-03-10,470.90,2,0
265,265,1,2025-03-10,7920.74,2,0
1315,1315,1,2025-03-10,630.04,2,0
1449,1449,1,2025-03-10,472.87,2,0
1789,1789,1,2025-03-10,23840.76,2,0
2169,2169,1,2025-03-10,2925.78,4,0
2172,2172,1,2025-03-10,35.58,2,0
2701,2701,1,2025-03-10,2418.62,2,0
3530,3530,1,2025-03-10,44.30,2,0
4119,4119,1,2025-03-10,7921.05,2,0
824,824,2,2025-03-10,25.08,2,0
1834,1834,2,2025-03-10,599.07,2,0
3229,3229,2,2025-03-10,39.81,2,0
3441,3441,2,2025-03-10,84.65,2,0
4153,4153,2,2025-03-10,7161.71,2,0
1603,1603,3,2025-03-10,1318.07,2,0
1684,1684,3,2025-03-10,4163.96,2,0
2062,2062,3,2025-03-10,771.84,2,0
2404,2404,3,2025-03-10,0.37,2,0
2609,2609,3,2025-03-10,1422.84,2,0
2610,2610,3,2025-03-10,4914.02,2,0
2626,2626,3,2025-03-10,14.20,2,0
3532,3532,3,2025-03-10,5419.79,2,0
3598,3598,3,2025-03-10,471.54,2,0
3861,3861,3,2025-03-10,1166.27,2,0
4524,4524,3,2025-03-10,3472.63,2,0
4527,4527,3,2025-03-10,6035.28,2,0
4599,4599,3,2025-03-10,154.39,2,0
2242,2242,4,2025-03-10,2837.22,4,0
3093,3093,4,2025-03-10,2951.06,2,0
3738,3738,4,2025-03-10,710.53,2,0
182,182,5,2025-03-10,245.58,2,0
183,183,5,2025-03-10,4389.25,2,0
302,302,5,2025-03-10,357.58,2,0
377,377,5,2025-03-10,367.76,2,0
429,429,5,2025-03-10,51.84,2,0
1531,1531,5,2025-03-10,887.05,2,0
3364,3364,5,2025-03-10,4747.02,2,0
4682,4682,5,2025-03-10,18.09,2,0
1295,1295,6,2025-03-10,847.21,2,0
1598,1598,6,2025-03-10,214.64,2,0
4403,4403,6,2025-03-10,2269.48,2,0
755,755,7,2025-03-10,1093.12,2,0
793,793,7,2025-03-10,74.07,2,0
1080,1080,7,2025-03-10,2889.69,2,0
1195,1195,7,2025-03-10,396.38,2,0
4201,4201,7,2025-03-10,1764.18,2,0
4436,4436,7,2025-03-10,883.66,2,0
633,633,8,2025-03-10,917.74,2,0
738,738,8,2025-03-10,36.39,2,0
979,979,8,2025-03-10,7925.17,2,0
1283,1283,8,2025-03-10,6541.32,2,0
1917,1917,8,2025-03-10,1259.23,2,0
2202,2202,8,2025-03-10,10085.96,2,0
3916,3916,8,2025-03-10,50.41,2,0
4722,4722,8,2025-03-10,27.15,2,0
4875,4875,8,2025-03-10,121.18,2,0
111,111,9,2025-03-10,1170.18,2,0
1148,1148,9,2025-03-10,19451.70,2,0
1481,1481,9,2025-03-10,670.60,2,0
2370,2370,9,2025-03-10,8167.11,2,0
2799,2799,9,2025-03-10,2310.07,2,0
2879,2879,9,2025-03-10,2357.85,2,0
3630,3630,9,2025-03-10,49.10,2,0
4872,4872,9,2025-03-10,991.54,2,0
554,554,10,2025-03-10,1109.22,2,0
1738,1738,10,2025-03-10,7788.14,2,0
1927,1927,10,2025-03-10,32.13,2,0
2711,2711,10,2025-03-10,14.70,2,0
2821,2821,10,2025-03-10,5711.00,2,0
2978,2978,10,2025-03-10,125.97,2,0
3304,3304,10,2025-03-10,18.67,2,0
3573,3573,10,2025-03-10,384.24,2,0
4151,4151,10,2025-03-10,1135.86,2,0
4347,4347,10,2025-03-10,2762.03,2,0
438,438,11,2025-03-10,1728.51,4,0
684,684,11,2025-03-10,110.24,2,0
1118,1118,11,2025-03-10,16436.94,2,0
1781,1781,11,2025-03-10,3727.54,2,0
4060,4060,11,2025-03-10,23.47,2,0
4211,4211,11,2025-03-10,1714.62,2,0
4509,4509,11,2025-03-10,31.87,2,0
662,662,12,2025-03-10,670.29,2,0
1239,1239,12,2025-03-10,13149.57,2,0
1566,1566,12,2025-03-10,2428.29,4,0
2142,2142,12,2025-03-10,379.43,2,0
3286,3286,12,2025-03-10,35.51,4,0
3665,3665,12,2025-03-10,360.01,2,0
3670,3670,12,2025-03-10,1291.95,2,0
3986,3986,12,2025-03-10,113.00,2,0
4646,4646,12,2025-03-10,73.03,2,0
4660,4660,12,2025-03-10,94.52,2,0
4888,4888,12,2025-03-10,7331.97,2,0
692,692,13,2025-03-10,2379.97,2,0
1218,1218,13,2025-03-10,412.60,2,0
3128,3128,13,2025-03-10,491.66,2,0
3541,3541,13,2025-03-10,14916.53,2,0
4275,4275,13,2025-03-10,15775.57,2,0
4326,4326,13,2025-03-10,1964.74,2,0
816,816,14,2025-03-10,122.73,2,0
1209,1209,14,2025-03-10,1626.55,2,0
