transaction_id;account_id;customer_id;branch_id;transaction_date;currency_code;amount_original;amount_eur
1000018;912;912;62;2025-01-27;PLN;7479,51;1869,88
1000020;482;482;99;2025-02-13;PLN;2229,94;557,49
1000037;2869;2869;19;2025-02-21;CHF;6146,15;6461,47
1000060;311;311;95;2025-03-09;SEK;8394,42;763,13
1000061;1694;1694;75;2025-01-25;CHF;5433,00;5711,73
1000069;2173;2173;25;2025-02-05;BGN;3144,08;1572,04
1000117;3839;3839;10;2025-02-09;GBP;4724,41;5634,43
1000125;535;535;65;2025-01-27;NOK;5577,81;464,82
1000127;2488;2488;49;2025-01-13;SEK;2512,25;228,39
1000137;2468;2468;58;2025-02-05;PLN;5973,61;1493,4
1000161;3251;3251;90;2025-01-08;JPY;1041,17;6,53
1000207;204;204;76;2025-03-03;JPY;7962,98;49,96
1000229;3680;3680;69;2025-02-03;RON;3337,87;667,57
1000244;3405;3405;39;2025-01-20;GBP;1808,91;2157,34
1000257;4128;4128;56;2025-01-16;CZK;6850,14;274,01
1000293;1970;1970;81;2025-02-19;AUD;7513,22;3756,61
1000303;3634;3634;36;2025-02-07;AUD;6249,42;3124,71
1000319;1835;1835;96;2025-02-15;AUD;1373,41;686,71
1000333;4971;4971;29;2025-01-29;BGN;8339,19;4169,6
1000334;3229;3229;2;2025-03-10;HUF;7951,84;19,91
1000343;1015;1015;4;2025-03-05;GBP;451,88;538,92
1000387;4657;4657;96;2025-02-22;JPY;2533,95;15,9
1000416;1272;1272;40;2025-01-17;TRY;9440,20;236,01
1000420;1138;1138;72;2025-02-27;HUF;8956,84;22,42
1000443;4368;4368;47;2025-01-03;JPY;5482,21;34,39
1000474;2764;2764;66;2025-01-09;TRY;1481,52;37,04
1000488;1991;1991;45;2025-01-18;JPY;2522,00;15,82
1000533;2283;2283;39;2025-01-14;HUF;5488,72;13,74
1000589;2968;2968;52;2025-03-06;NOK;3813,49;317,79
1000599;1808;1808;7;2025-02-22;AUD;126,17;63,09
1000614;1229;1229;50;2025-02-09;CHF;1504,16;1581,33
1000654;1414;1414;63;2025-01-11;SEK;3716,09;337,83
1000672;107;107;8;2025-02-20;BGN;8105,70;4052,85
1000681;3109;3109;31;2025-03-10;HUF;6260,30;15,67
1000685;1451;1451;66;2025-02-20;AUD;5440,91;2720,46
1000701;4217;4217;40;2025-01-31;HUF;248,02;0,62
1000731;2918;2918;84;2025-03-09;HUF;6489,16;16,25
1000741;2545;2545;54;2025-01-22;CHF;6559,44;6895,96
1000747;1429;1429;37;2025-01-01;DKK;5066,55;723,79
1000758;3047;3047;49;2025-03-09;NOK;2871,64;239,3
1000779;2182;2182;88;2025-03-01;DKK;9280,43;1325,78
1000807;4144;4144;2;2025-01-29;HUF;4920,09;12,32
1000827;4390;4390;74;2025-01-24;PLN;568,97;142,24
1000839;4085;4085;55;2025-01-27;DKK;1286,47;183,78
1000840;2822;2822;76;2025-02-12;TRY;8573,36;214,33
1000848;4426;4426;79;2025-02-27;SEK;6947,83;631,62
1000855;4611;4611;54;2025-01-28;RON;8366,76;1673,35
1000867;1051;1051;24;2025-03-03;DKK;817,44;116,78
1000872;2875;2875;76;2025-02-14;HUF;3793,35;9,5
1000886;1376;1376;26;2025-01-19;CHF;5293,78;5565,37
1000903;3793;3793;43;2025-02-13;AUD;4394,61;2197,3
1000915;3822;3822;39;2025-01-29;GBP;9967,36;11887,27
1000932;1087;1087;24;2025-03-09;JPY;1192,01;7,48
1000934;2937;2937;30;2025-01-21;SEK;8145,49;740,5
1000952;3521;3521;94;2025-02-03;AUD;6165,28;3082,64
1000996;363;363;91;2025-01-23;CZK;6679,93;267,2
1000999;2967;2967;84;2025-01-05;DKK;9748,50;1392,64
1001011;880;880;77;2025-01-24;BGN;6608,60;3304,3
1001018;3965;3965;11;2025-01-14;BGN;3003,39;1501,7
1001025;373;373;34;2025-02-10;AUD;3622,03;1811,02
1001032;1539;1539;14;2025-01-02;ISK;8630,28;58,75
1001039;2927;2927;66;2025-03-02;TRY;6202,65;155,07
1001053;3383;3383;70;2025-03-04;RON;6673,58;1334,72
1001064;3995;3995;19;2025-01-22;TRY;5270,01;131,75
